Company Name,Address,City,State,ZIP Code,Latitude,Longitude
Shaw's Supermarket,146 High St,Ipswich,MA,1938,42.689737,-70.853639
Shaw's Supermarket,230 Main St,Medfield,MA,2052,42.194458,-71.288605
Shaw's Supermarket,65 Main St,Medway,MA,2053,42.149509,-71.402115
Shaw's Supermarket,34 Essex St,Melrose,MA,2176,42.456451,-71.065866
Shaw's Supermarket,45 Storey Ave,Newburyport,MA,1950,42.819912,-70.905056
Shaw's Supermarket,134 Nahatan St,Norwood,MA,2062,42.19154,-71.195724
Shaw's Supermarket,114-128 Essex Center Dr,Peabody,MA,1960,42.5331,-70.959
Shaw's Supermarket,2260 State Rd,Plymouth,MA,2360,41.820534,-70.550689
Shaw's Supermarket,121 Memorial Pkwy,Randolph,MA,2368,42.16308,-71.044986
Shaw's Supermarket,11 Traders Way,Salem,MA,1970,42.501888,-70.921367
Shaw's Supermarket,780 S Main St,Sharon,MA,2067,42.094444,-71.22176
Shaw's Supermarket,155 Great Rd,Stow,MA,1775,42.434744,-71.487112
Shaw's Supermarket,509 Boston Post Rd,Sudbury,MA,1776,42.358934,-71.42948
Shaw's Supermarket,130 River St,Waltham,MA,2453,42.369141,-71.22126
Shaw's Supermarket,127 Marion Rd,Wareham,MA,2571,41.7595,-70.728856
Shaw's Supermarkets Inc,750 W Center St,West Bridgewater,MA,2379,42.010473,-71.05326
Shaw's Supermarkets Perishable,100 Danton Dr,Methuen,MA,1844,42.719979,-71.211148
Star Market,2040 Commonwealth Ave,Auburndale,MA,2466,42.347055,-71.245376
Star Market,370 Western Ave # 1,Brighton,MA,2135,42.360975,-71.137832
Star Market,1717 Beacon St,Brookline,MA,2445,42.337509,-71.139182
Star Market,49 White St,Cambridge,MA,2140,42.389301,-71.117644
Star Market,699 Mount Auburn St,Cambridge,MA,2138,42.375286,-71.14901
Star Market,1 Boylston St,Chestnut Hill,MA,2467,42.323772,-71.166328
Star Market,795 Providence Hwy,Dedham,MA,2026,42.238148,-71.178346
Star Market,45 William T Morrissey Blv # 1,Dorchester,MA,2125,42.318521,-71.050772
Star Market,4 River St,Mattapan,MA,2126,42.271841,-71.069999
Star Market,33 Austin St,Newtonville,MA,2460,42.350681,-71.209145
Star Market,130 Granite St,Quincy,MA,2169,42.244873,-71.005268
Star Market,14 Mcgrath Hwy # 2,Somerville,MA,2143,42.374425,-71.085745
Star Market,1070 Lexington St,Waltham,MA,2452,42.412505,-71.234112
Stop & Shop Supermarket,37 Enon St,Beverly,MA,1915,42.586017,-70.884915
Stop & Shop Supermarket,316 Grove St,Braintree,MA,2184,42.192062,-70.986885
Stop & Shop Supermarket,155 Harvard St,Brookline,MA,2446,42.3381,-71.120422
Stop & Shop Supermarket,545 Freeport St,Dorchester,MA,2122,42.292713,-71.04901
Stop & Shop Supermarket,2991 Cranberry Hwy,East Wareham,MA,2538,41.759465,-70.664462
Stop & Shop Supermarket,301 Centre St,Jamaica Plain,MA,2130,42.323,-71.1032
Stop & Shop Supermarket,35 Washington St,Lynn,MA,1904,42.469736,-70.958894
Stop & Shop Supermarket,829 Worcester St,Natick,MA,1760,42.301178,-71.357712
Stop & Shop Supermarket,757 Turnpike St,North Andover,MA,1845,42.660354,-71.109805
Stop & Shop Supermarket,265 Main St,North Reading,MA,1864,42.59177,-71.116462
Stop & Shop Supermarket,125 Church St # C,Pembroke,MA,2359,42.107568,-70.771918
Stop & Shop Supermarket,65 Newport Ave # 1,Quincy,MA,2171,42.271484,-71.0271
Stop & Shop Supermarket,40 Furlong Dr,Revere,MA,2151,42.39949,-70.99929
Stop & Shop Supermarket,950 American Legion Hwy # 1,Roslindale,MA,2131,42.275514,-71.115185
Stop & Shop Supermarket,164 Main St,Saugus,MA,1906,42.464489,-71.027855
Stop & Shop Supermarket,565 Main St,Walpole,MA,2081,42.156963,-71.241844
Stop & Shop Supermarket Co LLC,1385 Hancock St,Quincy,MA,2169,42.249565,-71.003983
Sudbury Farms,1177 Highland Ave,Needham Heights,MA,2494,42.286735,-71.235683
Sudbury Farms,439 Boston Post Rd # 1,Sudbury,MA,1776,42.36066,-71.422046
Super Stop & Shop,375 Centre Ave,Abington,MA,2351,42.110207,-70.927643
Super Stop & Shop,60 Everett St # 2,Allston,MA,2134,42.356005,-71.138519
Super Stop & Shop,100 Macy St,Amesbury,MA,1913,42.847353,-70.91046
Super Stop & Shop,337 Great Rd,Bedford,MA,1730,42.484496,-71.263082
Super Stop & Shop,70 Pulaski Blvd,Bellingham,MA,2019,42.019031,-71.49754
Super Stop & Shop,224 Elliott St,Beverly,MA,1915,42.555265,-70.88684
Super Stop & Shop,683 Belmont St,Brockton,MA,2301,42.071071,-71.047089
Super Stop & Shop,932 N Montello St # 1,Brockton,MA,2301,42.109,-71.025719
Super Stop & Shop,1100 Massachusetts Ave,Dorchester,MA,2125,42.326174,-71.065133
Super Stop & Shop,1690 Revere Beach Pkwy,Everett,MA,2149,42.40109,-71.043092
Super Stop & Shop,141 Main St,Foxboro,MA,2035,42.075341,-71.260941
Super Stop & Shop,19 Temple St,Framingham,MA,1702,42.297466,-71.449019
Super Stop & Shop,235 Old Connecticut Path # PA,Framingham,MA,1701,42.306144,-71.401436
Super Stop & Shop,6 Thatcher Rd,Gloucester,MA,1930,42.61881,-70.641369
Super Stop & Shop,341 Plymouth St,Halifax,MA,2338,41.994922,-70.848518
Super Stop & Shop,400 Lincoln St,Hingham,MA,2043,42.247681,-70.923834
Super Stop & Shop,10 Technology Dr,Hudson,MA,1749,42.377682,-71.563376
Super Stop & Shop,160 Summer St # 1,Kingston,MA,2364,42.008438,-70.731506
Super Stop & Shop,760 Fellsway,Medford,MA,2155,42.408001,-71.084137
